QNo,Page,Question,Option1,Option2,Option3,Option4,Option5,Option6,Answer,Subject,Subject Code,Topic,SubTopic,Question Type,Solution,Rightamarks,Negative Marks,Difficulty Level
1,2,A meristem may be defined as the group of cells which -,Does not divide,Conserve food,Divide continuously to give rise to new cells.,"Elongate, mature and add to the group of cells.",,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
2,2,Root cap is not found in -,Mustard,Pistia,Sunflower,China rose,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
3,2,The secondary meristem originates from-,Promeristem,Primary meristem,Primary permanent tissue,Secretory tissue,,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
4,2,The function of root cap is-,Provide protection to root apex,Storage of food products,Absorption of nutrients,None of the above,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
5,2,Meristem which is present inside the vascular bundle is –,Apical meristem,Intercalary meristem,Cork cambium,Intra fascicular cambium,,,4,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
6,2,Aerenchyma is helpful to plants by –,Providing buoyancy to hydrophytes,Promoting photosynthesis,Give mechanical strength to plants,Giving flexibility to plants,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
7,2,Function of collenchyma is –,Photosynthesis,Mechanical support,Both (1) and (2),Secretion,,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
8,2,"In plants, which of the following cells are living",Xylem vessels,Meristem,Cork,Fibres,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
9,2,Which of the following tissues form the main bulk of storage organ-,Parenchyma,Collenchyma,Sclerenchyma,Aerenchyma,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
10,2,5. Grittness in pear fruit is due to,Sclereids,Collenchyma,Parenchyma,Meristem,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
11,2,Mechanical tissue consisting of living cells is -,Sclerenchyma,Collenchyma,Chlorenchyma,Parenchyma,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
12,2,Collenchyma differs from sclerenchyma in -,Retaining  protoplasm at maturity,Having thick walls,Having a lumen,Being meristematic,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
13,2,Which of the following tissue provide tensile strength to young dicot stem against bending & swaying-,Parenchyma,Collenchyma,Sclerenchyma,Sclereids,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
14,2,Cell walls of sclerenchymatous cells are thickened due to deposition of -,Cellulose,Pectin,Lignin,Silica,,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
15,2,Which of following plant cells are without vacuoles without nuclei and are dead -,Cambium cells,Xylem vessels,Root hairs,Companion cells,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
16,3,Maximum bordered pits are found in tracheids of,Monocotyledons,Dicotyledons,Pteridophytes,Gymnosperms,,,4,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
17,3,The cell functionally associated with sieve tube element is -,Phloem fibres,Phloem parenchyma,Companion cell,Collenchyma,,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
18,3,Bast fibres are mostly found in -,Secondary xylem,Secondary phloem,Primary phloem,Primary xylem,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
19,3,Vessels and companion cells are respectively present in the xylem and phloem of,Gymnosperm,Pteridophyte,Angiosperm,Bryophyte,,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
20,3,Phloem parenchyma is absent in -,Dicot stem,Dicot leaf,Monocot stem,Dicot root,,,3,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
21,3,Localised cell wall thickenings in collenchyma is mainly due to deposition of -,Cellulose,Pectin,Lignin,Suberin,,,2,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
22,3,The chief function of a xylem vessel in a plant body is to -,Conduct sap,Conduct mineral salts only,Eliminate excess of water at night,Translocate organic nutrients,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Medium
23,3,"End walls of tracheids and vessels are, respectively",Pitted & perforated,Perforated & pitted,Both perforated,Both pitted,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
24,3,Long and pointed sclerenchyma cells are,Fibres,Tracheae,Wood parenchyma,Sclereids,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
25,3,P-protein is a constituent of,Sieve tube elements,Xylem parenchyma,Parenchyma,Pericycle,,,1,Botany,BT01,Anatomy of Flowering Plants,Meristem to Vascular Bundles,Multiple Choice Question,,4,-1,Easy
